"client_ref","order_id","duration","deadline","known_difficult","created_on","last_modified_on"
"5b530d2eaf-be51a059-1608252722053703706",,308.71000000000004,1608299522,0,1608252723,1608252723
"5b530d2eaf-be51a059-1608252715630273627",,299.12,1608299516,0,1608252718,1608252718
"5b530d2eaf-be51a059-1608252716497758104",,297.52,1608299516,0,1608252718,1608252718
"5b530d2eaf-be51a059-1608252714642112972",,289.6099999999997,1608299515,0,1608252716,1608252716
"5b530d2eaf-be51a059-1608252711174807771",,288.25,1608299511,0,1608252712,1608252712
"5b530d2eaf-be51a059-1608252700170145220",,304.1300000000001,1608299500,0,1608252701,1608252701
"5b530d2eaf-be51a059-1608252693806238013",,303.77999999999975,1608299495,0,1608252696,1608252696
"5b530d2eaf-be51a059-1608252672338705703",,307.1199999999999,1608299472,0,1608252673,1608252673
"5b530d2eaf-be51a059-1608252598623137772",,10.539999999999964,1608299398,0,1608252599,1608252599
"6605dfe3ef-3a549058873f-1608252339038778609",,301.46,1608299139,0,1608252340,1608252340
"6605dfe3ef-3a549058873f-1608252277363125960",,312.03999999999996,1608299077,0,1608252278,1608252278
